ID,Property_2,Property_3
"3fb9c0c5-6709-4eeb-9263-b59a564f7e00","Lemon",205340
"31c71b48-a526-4f84-af02-59c1e1372b90","Ochre",166237
"d69d19f2-8131-444f-9874-66d6a9600670","Emerald",63917
"d12be844-9884-48fc-9f18-c60af1e4da7f","Lemon",34005
"e8d0b774-4a9f-4a34-a8ec-9b24168d6103","Magenta",171700
"c5ff95c1-7d74-408c-ace3-41e3e5ce0379","Red",53500
"aa0db5a2-b56b-414d-b0ee-0aee0d4c0e8a","Chocolate",208949
"2b62a46b-aa28-429f-9d2c-d091775c99bc","Periwinkle",83997
"ee803f68-d1ad-482a-becd-e57ee1bd1967","Rose",99850
"eac23725-ce62-4fdb-b667-337ae1ea0460","Coffee",174680
"843c9734-9966-423d-b95e-fc68407e1bd5","Burgundy",65520
"8d9c7fd7-7254-4869-a74e-4b60d7006f1a","Pink",210329
"af6a14d0-021f-48fa-9c8c-ccc748537395","Beige",109610
"3b3abb64-5cb5-46b6-8fab-409d9e4f09f8","Jade",92291
"079cf052-5fe7-42ad-b1c6-e0c7fb53dcf4","Blue-violet",108625
"22977b6e-58d2-4681-a5c7-48711f915764","Silver",29412
"a31dd25e-bc24-4778-846e-715a23065ee3","Carmine",221425
"bf471b8f-e62b-479b-a740-e797b8b0b6c1","Ultramarine",26104
"63bba9d7-7f95-466c-8362-3c9fb89424e3","Copper",158076
"9d4618a7-54d3-458e-b7f9-f54ed90a76a8","Olive",77493
"a49f1026-303f-4012-a65e-b8d9fde7e285","Black",256180
"b88ac898-e939-48f3-b128-baa9590f2649","Gray",134359
"785a1c2e-4cc5-4a1e-a8b4-23c1bd8ff84b","Taupe",66117
"80014da0-7612-4165-8809-ecd5d9ed16f5","Magenta rose",71103
"e0f36d05-f112-435b-b525-57f699f332f9","Lime",150879
"0994d038-e473-41b3-a3bc-13119a394c61","Salmon",82627
"648cdad3-7ef2-40da-b0a6-1da7740155ba","White",231572
"a91f204e-536e-46fa-a711-9a816e36cce7","Rose",4910
"8a67936c-1cf8-47f8-85b4-a0923a19be59","Pink",187697
"55a662fe-d7c3-4869-b31a-4c85189c1424","Byzantium",221888
"222f9602-c9a4-43a7-8907-7b2a29e8aded","Jungle green",276148
"a214cb05-9328-4721-a752-3fad57851b28","Pink",270090
"931363c8-d81d-4097-9243-64ed98ad321b","Harlequin",121502
"50f34e3c-f794-4fd8-8d2c-7f4d7d76e200","Pink",78561
"2bd34187-8a72-4c41-9bb1-8c7433bd0dab","Jade",96552
"8e974145-1a45-4bb0-8441-9ebfff81f10d","Pink",298855
"61761d40-e267-45e8-be89-fcf3ecde1ae0","Ivory",226275
"ac28cfaa-6285-4737-9f2c-fee17b667dd5","Carmine",18061
"8100c173-d311-4a30-b924-9efbcaae9799","Magenta",295520
"fd2476d2-5873-4906-8062-07417de884fe","Lilac",178105
"782128e7-6418-4368-85df-c4501fa9b262","Magenta",285953
"4a3be5f1-0520-4a5f-8f41-bedc12fd7dad","Lilac",109702
"e90b80ad-18f2-4dd7-8f0c-d5549d3118d0","Chocolate",95493
"09ce74b8-3ddd-47c3-958f-6721af2f628b","Sangria",48516
"15309e14-a36c-4325-aa6c-2ed97034ad92","Periwinkle",200391
"d39fe150-f28e-47fb-9d3b-a3d875979e47","Black",121925
"822becb5-cb58-4dae-aab2-fc6854f514bb","Aquamarine",177451
"3fd80c1c-30c2-4120-8aae-c1c6ffd6a49e","Lilac",273038
"e7f09ec9-035c-406b-9274-be97fb38edd4","Slate gray",70753
"237eb18f-8312-4fe9-98cb-8bf8c624501e","Puce",73496
"cefeca0c-d8ba-4caf-8d66-ff2d916269f6","Champagne",6032
"f738bca3-eece-4ba5-b580-3076aa3b9e1b","Lavender",278097
