ID,Property_4
"3fd80c1c-30c2-4120-8aae-c1c6ffd6a49e",W_48
"73bf3af1-1e5c-4e10-8ca9-8572bce76abe",E_73
"2b62a46b-aa28-429f-9d2c-d091775c99bc",X_70
"a94e6477-95c5-43da-9ed9-e17411b3a6fc",B_71
"3fb9c0c5-6709-4eeb-9263-b59a564f7e00",G_94
"59e65d05-88f6-4ba8-9206-ba0623dd864f",A_14
"d39fe150-f28e-47fb-9d3b-a3d875979e47",I_24
"63bba9d7-7f95-466c-8362-3c9fb89424e3",M_45
"97dcc877-c2ec-47a1-9cc1-6b4852c13342",M_75
"f32efd39-b683-4e08-87a2-3430baf02624",M_92
"75ad1803-b1f3-4954-bfe7-16fc75ff603c",L_85
"4a3be5f1-0520-4a5f-8f41-bedc12fd7dad",G_64
"e90b80ad-18f2-4dd7-8f0c-d5549d3118d0",O_36
"61761d40-e267-45e8-be89-fcf3ecde1ae0",X_89
"b8954b69-8f03-4993-9ae9-a371ccd2b278",U_32
"c5ff95c1-7d74-408c-ace3-41e3e5ce0379",O_82
"bf471b8f-e62b-479b-a740-e797b8b0b6c1",L_79
"f738bca3-eece-4ba5-b580-3076aa3b9e1b",C_77
"64480141-7f5a-4917-a2ab-0d48ef8cb1cb",L_93
"7541d75e-a6ee-485e-a5a2-47716ccf0f7c",M_36
"040e8721-9511-4bf4-95ea-4dc3cb8159bb",S_26
"074c71d4-431a-4c0c-a4e4-42d32614eaa2",N_83
"55a662fe-d7c3-4869-b31a-4c85189c1424",T_29
"56489764-c551-4f36-89a8-713fc55d40d4",O_89
"300d77c4-63b0-4c2c-8547-98c1935421c3",H_89
"843c9734-9966-423d-b95e-fc68407e1bd5",T_62
"e0f36d05-f112-435b-b525-57f699f332f9",O_25
"e8d0b774-4a9f-4a34-a8ec-9b24168d6103",G_80
"5ea2ba9b-9199-417a-8d76-4282a59495e8",W_37
"31c71b48-a526-4f84-af02-59c1e1372b90",V_41
"2bd34187-8a72-4c41-9bb1-8c7433bd0dab",L_88
"09ce74b8-3ddd-47c3-958f-6721af2f628b",P_75
"d12be844-9884-48fc-9f18-c60af1e4da7f",C_94
"cdff2b37-2d12-47d8-b553-79286a9eabdd",I_36
"af6a14d0-021f-48fa-9c8c-ccc748537395",T_51
